repo_index,CommitEvent,CommitCommentEvent,IssueEvent,IssueCommentEvent,PullRequestEvent,PullRequestCommentEvent
26366,121,0,110,445,95,295
5924,0,0,0,0,0,0
15200,20,0,4,4,10,10
16238,0,0,4,2,0,0
45259,0,0,1,1,1,0
13785,1,0,1,0,1,0
12236,54,0,0,12,12,0
9194,0,0,0,0,0,0
45585,14,0,0,0,0,0
9542,0,0,0,0,0,0
38163,0,0,1,1,10,2
2207,0,0,0,0,0,0
14797,17,0,27,15,36,48
38444,0,0,0,0,0,0
20708,45,0,28,24,56,160
2236,0,0,0,0,0,0
23343,1,0,15,3,6,0
35327,5,0,4,0,4,4
16932,12,0,0,0,0,0
24906,1,0,0,0,0,0
13422,0,0,3,9,0,0
14100,12,0,4,9,6,29
39639,30,0,6,16,44,10
12016,0,0,0,1,0,0
10268,0,0,0,0,0,0
5102,0,0,0,0,0,0
6415,0,0,0,0,0,0
12246,1384,0,0,0,0,0
2790,0,0,0,0,0,0
10477,3,0,6,10,0,0
31184,0,0,0,0,12,0
10552,16,0,21,42,18,12
18325,0,0,0,0,0,0
7297,0,0,0,0,0,0
43127,0,0,1,1,0,0
29363,0,0,0,0,0,0
10844,0,0,4,0,0,0
4043,0,0,0,0,0,0
42882,38,0,5,0,20,75
3547,0,0,0,0,0,0
3998,0,0,0,0,0,0
2284,0,0,0,0,0,0
41133,252,0,0,0,154,77
16527,830,0,0,124,0,0
6664,0,0,0,0,0,0
46008,82,0,0,0,27,18
19289,18,0,18,84,12,27
9187,0,0,0,0,0,0
27362,0,0,0,0,0,0
10077,66,0,48,96,8,8
10227,0,0,3,8,0,0
30526,2,0,5,16,1,1
13814,0,0,0,4,0,0
9267,0,0,0,0,0,0
616,0,0,0,0,0,0
28452,118,0,50,175,115,95
31459,0,0,2,0,0,0
21990,17,0,12,27,9,3
5892,0,0,0,0,0,0
42423,0,0,8,0,0,0
24327,0,0,0,0,0,0
15299,11,0,0,0,0,0
16186,306,22,0,308,0,0
15167,0,0,1,2,0,0
23248,80,0,56,238,14,28
11124,168,7,0,21,0,21
38545,1,0,0,1,1,2
6848,0,0,0,0,0,0
13226,134,0,0,32,0,0
4472,0,0,0,0,0,0
8319,0,0,0,0,0,0
19498,0,0,42,39,12,0
11721,86,0,220,770,0,0
27446,4,0,15,30,6,0
44925,2,0,2,3,0,0
9110,0,0,0,0,0,0
3392,0,0,0,0,0,0
39122,10,0,2,3,0,1
48049,0,0,6,2,2,0
24434,32,0,0,0,0,0
38635,24,0,10,5,55,35
36914,882,0,0,276,1219,2668
6606,0,0,0,0,0,0
5278,0,0,0,0,0,0
25738,0,0,0,0,0,0
14254,0,0,1,0,0,0
49680,56,0,102,90,24,18
20313,55,0,54,96,60,60
7831,0,0,0,0,0,0
13670,14,0,20,40,10,8
20126,1,0,2,4,2,8
24688,0,0,0,0,1,0
40661,40,0,7,280,287,175
21257,88,0,4,4,4,0
4822,0,0,0,0,0,0
28050,2,0,24,22,2,2
25220,0,0,0,6,0,0
3871,0,0,0,0,0,0
14268,68,0,0,0,40,72
49198,15,0,2,0,0,0
37558,21,0,147,84,0,147
24947,1,0,0,0,0,0
16579,15,0,45,90,50,5
6503,0,0,0,0,0,0
15283,0,0,1,0,0,0
19800,20,0,30,184,4,2
2353,0,0,0,0,0,0
33097,19,0,2,13,4,10
20416,66,0,102,366,36,12
7040,0,0,0,0,0,0
16844,9,0,2,1,0,0
43805,184,0,95,115,140,195
19970,0,0,3,0,0,7
26258,2,0,0,0,0,0
20310,0,0,0,0,0,0
39907,44,0,26,40,78,76
34376,26,0,4,18,6,14
45650,0,0,0,0,0,0
30446,31,0,0,0,0,0
8668,0,0,0,0,0,0
25206,139,0,8,8,4,0
39921,224,0,0,0,132,0
9101,0,0,0,0,0,0
2296,0,0,0,0,0,0
28105,26,0,12,42,3,24
8153,0,0,0,0,0,0
24565,307,0,984,504,960,336
10167,197,0,600,2412,408,384
48607,3,0,1,0,4,8
33595,22,0,8,10,8,4
12465,0,0,0,0,16,0
34880,11,0,30,114,66,18
19634,8,0,1,0,2,0
48627,36,0,4,22,5,0
36480,19,0,4,0,4,0
48694,19,0,7,36,6,8
37986,287,0,93,465,0,0
2363,0,0,0,0,0,0
562,0,0,0,0,0,0
14138,0,0,6,9,9,15
23355,769,0,0,0,0,0
21872,10,0,2,2,2,0
46596,0,0,0,0,0,0
20891,18,0,35,180,30,25
35031,133,40,0,80,0,0
8167,0,0,0,0,0,0
8641,0,0,0,0,0,0
35954,37,0,42,168,0,0
34997,43,0,18,12,66,60
42979,1,0,1,1,1,0
31358,80,0,470,290,200,150
7330,0,0,0,0,0,0
22325,13,0,40,16,20,44
8748,0,0,0,0,0,0
1495,0,0,0,0,0,0
19101,2,0,4,0,4,0
7918,0,0,0,0,0,0
2721,0,0,0,0,0,0
11389,2,0,2,1,3,2
30514,9,0,0,0,0,0
2454,0,0,0,0,0,0
44034,0,0,0,0,0,0
29839,0,0,0,1,0,0
8202,0,0,0,0,0,0
10769,0,0,0,1,2,3
8955,0,0,0,0,0,0
10090,0,0,4,8,16,12
31824,0,0,0,0,0,0
20131,0,0,0,0,0,0
36503,5,0,42,42,24,60
40064,153,0,0,0,189,12
24406,417,0,675,819,495,270
42611,0,0,0,0,0,0
36628,2,0,0,2,0,0
82,0,0,0,0,0,0
45791,240,0,152,152,760,285
22581,0,0,0,0,1,0
18482,7,0,8,27,2,1
34451,11,0,5,19,4,5
45428,18,0,57,297,39,96
10340,48,0,35,165,45,55
33832,0,0,1,1,2,0
45366,33,0,9,9,36,30
395,0,0,0,0,0,0
19151,380,0,12,12,228,12
6931,0,0,0,0,0,0
23645,0,0,1,1,0,0
16271,29,0,0,0,0,0
20421,0,0,2,0,8,14
32441,173,0,112,512,232,672
14319,27,0,24,84,42,90
49886,0,0,0,0,0,0
33712,60,0,168,654,96,132
48848,23,0,52,172,12,8
24944,11,0,14,28,14,49
15049,2,0,0,0,0,0
14958,0,0,60,216,0,28
5083,0,0,0,0,0,0
28595,1635,52,728,3536,4212,5408
42072,20,0,0,0,6,3
29643,11,0,10,12,4,4
4583,0,0,0,0,0,0
8487,0,0,0,0,0,0
32884,0,0,0,0,0,0
9926,0,0,0,0,0,0
21215,4,0,2,12,1,0
7963,0,0,0,0,0,0
29154,0,0,0,2,0,0
45130,31,0,6,21,66,30
16326,463,0,0,108,0,54
18343,0,0,1,3,0,0
31079,0,0,0,0,0,0
36745,22,0,2,10,7,21
38355,0,0,0,8,0,0
21286,7,0,50,110,20,5
33408,7,0,1,4,1,1
19221,0,0,4,15,0,0
37918,50,0,21,12,27,0
21932,14,0,6,18,15,9
42654,66,0,27,78,0,0
3705,0,0,0,0,0,0
12586,2,0,0,0,1,1
20198,0,0,5,1,0,0
10220,82,0,0,0,180,468
38109,250,0,76,84,100,68
4172,0,0,0,0,0,0
47167,61,0,8,16,24,0
29702,59,7,14,14,63,126
35010,0,0,0,0,0,0
46077,12,0,1,0,2,0
37138,0,0,0,0,0,0
43525,13,0,4,0,0,0
40193,0,0,1,1,0,0
27724,48,0,156,378,84,102
16455,0,0,8,0,8,0
7529,0,0,0,0,0,0
6792,0,0,0,0,0,0
40340,173,0,0,0,0,0
22515,0,0,0,3,1,4
26646,52,0,12,63,3,0
16029,111,0,80,272,24,24
9333,0,0,0,0,0,0
117,0,0,0,0,0,0
29311,0,0,0,0,1,1
8031,0,0,0,0,0,0
6407,0,0,0,0,0,0
9961,0,0,0,0,0,0
28775,26,4,18,54,24,70
30930,44,0,12,21,39,51
10146,0,0,1,2,0,0
40359,0,0,0,0,0,0
1731,0,0,0,0,0,0
1025,0,0,0,0,0,0
49556,0,0,0,0,0,0
19111,47,0,10,44,38,38
20546,3,0,26,58,2,0
22665,86,0,30,21,87,237
23400,2,0,0,0,2,8
1741,0,0,0,0,0,0
30090,3,0,2,0,6,6
15142,8,0,6,6,12,14
9541,0,0,0,0,0,0
2128,0,0,0,0,0,0
15501,9,0,6,18,2,13
9841,0,0,0,0,0,0
35780,0,0,3,3,1,3
43441,102,0,0,0,0,0
9558,0,0,0,0,0,0
45891,120,0,0,25,0,0
14974,0,0,0,0,0,0
1319,0,0,0,0,0,0
36160,259,0,32,40,768,848
43371,46,0,0,0,0,0
8820,0,0,0,0,0,0
45784,5,0,0,6,0,0
8061,0,0,0,0,0,0
5855,0,0,0,0,0,0
15694,26,0,0,27,0,117
9937,0,0,0,0,0,0
32227,0,0,0,0,0,0
42997,1,0,10,130,5,5
28494,14,0,4,12,4,8
7436,0,0,0,0,0,0
20753,0,0,0,0,0,0
16279,0,0,0,0,1,1
48767,275,0,506,550,528,154
4357,0,0,0,0,0,0
8517,0,0,0,0,0,0
23831,21,0,0,0,2,3
9664,0,0,0,0,0,0
28767,8,0,0,0,2,0
31582,9,0,0,0,2,6
8393,0,0,0,0,0,0
47550,0,0,0,0,0,0
40122,23,0,0,0,0,0
11737,49,0,32,84,16,32
39156,65,0,0,0,0,0
47377,87,20,0,0,200,20
45663,2,0,1,0,0,2
18215,0,0,0,0,0,0
19215,27,28,0,42,0,0
839,0,0,0,0,0,0
38349,1,0,0,0,1,0
1043,0,0,0,0,0,0
20084,8,0,12,51,0,0
12320,3,0,0,4,0,0
23485,0,0,1,1,0,0
16028,33,0,64,136,0,0
36839,101,0,0,0,0,0
13049,0,0,5,10,0,1
31211,70,0,12,4,44,28
3938,0,0,0,0,0,0
49442,2,0,1,1,1,1
10911,17,0,30,76,4,2
12414,3,0,4,6,2,4
23388,0,0,0,2,0,0
46419,177,0,15,0,60,120
22545,18,0,18,82,10,14
23487,0,0,0,0,0,0
47327,0,0,0,0,0,0
